,Rooms,Material,Total area,Live area,Kitchen,Toilet type,Price,Floor,TotalFloor
242,2,15,61.3,33.0,10.7,2,5444,5.0,11.0
243,2,15,60.6,33.0,10.7,2,5450,6.0,11.0
244,2,14,44.0,25.5,7.5,7,5450,2.0,9.0
245,2,18,49.0,28.7,8.2,2,5600,21.0,22.0
246,2,14,66.0,41.0,12.0,5,5600,1.0,4.0
247,2,2,57.0,31.0,8.0,7,5750,7.0,16.0
248,2,14,54.1,40.0,6.0,8,5750,5.0,5.0
249,2,2,54.2,35.5,9.0,7,5900,7.0,14.0
250,2,25,58.0,35.0,8.2,7,5900,0.0,5.0
251,2,27,66.0,35.9,6.2,7,5900,2.0,4.0
252,2,26,64.4,35.4,11.4,8,5950,5.0,7.0
253,2,25,57.0,36.0,8.0,7,6000,5.0,5.0
254,2,14,54.0,28.0,10.2,7,6000,3.0,5.0
255,2,14,61.0,37.0,7.3,7,6100,3.0,10.0
256,2,25,50.0,32.6,8.0,7,6100,5.0,5.0
257,2,14,52.8,32.2,7.8,7,6200,11.0,12.0
258,2,26,62.0,0.0,10.0,7,6200,1.0,6.0
259,2,25,56.4,34.0,9.2,7,6300,5.0,5.0
260,2,14,54.2,29.2,7.8,7,6400,4.0,13.0
261,2,26,54.0,27.0,15.7,8,6500,1.0,5.0
262,2,27,80.0,49.0,7.5,7,6850,2.0,4.0
263,2,15,61.2,34.1,10.7,7,7059,7.0,13.0
264,2,27,47.1,28.0,8.7,7,7200,1.0,4.0
265,2,14,67.0,53.0,12.0,7,7400,4.0,4.0
266,2,15,75.3,37.4,19.5,7,7472,2.0,11.0
267,2,27,48.0,30.6,7.0,8,7480,3.0,4.0
268,2,15,64.3,31.2,11.7,7,7527,9.0,13.0
269,2,15,78.5,40.3,17.6,8,7974,2.0,13.0
270,2,14,56.0,32.0,0.0,8,8000,12.0,12.0
271,2,15,83.0,36.0,16.0,8,8000,2.0,10.0
272,2,15,78.8,33.5,18.7,7,8461,6.0,11.0
273,2,27,70.5,45.0,11.5,7,8500,4.0,5.0
274,2,27,83.0,44.5,14.0,7,8500,3.0,6.0
275,2,15,80.8,33.0,18.2,7,8664,5.0,11.0
276,2,14,59.6,29.1,12.8,8,8700,5.0,16.0
277,2,14,69.2,38.0,14.0,8,9500,16.0,17.0
278,2,15,84.6,41.6,17.4,7,9800,7.0,11.0
279,2,15,91.5,50.4,16.1,0,10065,2.0,16.0
280,2,15,73.9,36.3,15.4,7,10250,8.0,15.0
281,2,15,79.3,37.2,14.4,7,10309,14.0,17.0
282,2,15,75.0,37.0,15.6,7,10700,9.0,15.0
283,2,15,71.0,34.2,11.7,8,10788,6.0,17.0
284,2,15,67.9,35.5,16.5,0,10900,4.0,9.0
285,2,15,71.6,36.5,16.5,8,10900,2.0,16.0
286,2,15,67.0,30.4,11.0,8,10999,8.0,17.0
287,2,27,100.0,30.0,41.0,8,11300,5.0,6.0
288,2,26,98.1,58.2,23.2,8,12000,6.0,6.0
289,2,18,66.6,36.9,12.2,7,12200,5.0,17.0
290,2,15,83.5,42.8,13.7,0,12400,6.0,16.0
291,2,14,60.0,41.0,25.0,8,12800,13.0,14.0
292,2,15,95.0,40.0,28.0,0,13000,15.0,15.0
293,2,27,62.0,27.0,10.0,7,14900,1.0,6.0
294,2,15,70.7,31.1,15.0,0,15500,13.0,18.0
295,2,15,81.3,64.0,13.0,8,20000,21.0,21.0
296,2,14,112.9,54.5,28.7,0,22000,3.0,5.0
297,2,15,123.0,45.0,40.0,0,22000,5.0,6.0
298,2,27,95.0,65.0,14.0,8,24800,2.0,2.0
299,3,26,56.0,37.0,7.7,7,3950,1.0,5.0
300,3,27,59.4,37.0,9.0,8,4300,1.0,5.0
301,3,14,56.0,39.0,6.0,7,5290,5.0,5.0
302,3,11,55.0,38.4,5.6,7,5300,3.0,5.0
303,3,16,62.0,45.0,6.2,7,5500,1.0,9.0
304,3,26,55.0,39.5,6.8,4,5650,6.0,6.0
305,3,27,70.0,50.0,6.0,7,5990,4.0,5.0
306,3,27,63.0,42.0,10.0,7,6290,3.0,6.0
307,3,26,82.5,50.0,13.6,7,6500,2.0,5.0
308,3,27,70.7,45.4,10.7,8,6550,3.0,6.0
309,3,2,71.1,45.2,8.1,7,6650,7.0,12.0
310,3,14,77.0,45.1,10.5,7,6650,5.0,5.0
311,3,16,70.1,50.0,7.0,7,6890,7.0,9.0
312,3,14,77.0,47.0,9.0,7,7000,4.0,6.0
313,3,27,59.3,31.4,7.0,0,7000,1.0,6.0
314,3,26,70.0,43.4,9.5,7,7200,3.0,4.0
315,3,14,78.0,57.0,9.0,5,7200,2.0,4.0
316,3,14,73.0,43.6,9.5,7,7300,8.0,9.0
317,3,26,94.2,64.1,9.6,7,7300,5.0,5.0
318,3,2,74.6,45.0,9.8,7,7400,4.0,16.0
319,3,14,68.5,41.0,11.3,7,7490,4.0,10.0
320,3,14,66.4,38.2,10.0,7,7500,10.0,13.0
321,3,14,91.4,39.2,23.8,7,7500,3.0,4.0
322,3,26,86.6,61.0,22.0,7,7500,2.0,4.0
323,3,14,82.0,45.0,15.9,7,7590,3.0,6.0
324,3,25,75.0,46.0,9.0,7,7600,4.0,5.0
325,3,23,77.0,54.0,10.0,7,7800,2.0,9.0
326,3,14,72.0,37.0,26.0,8,7800,5.0,5.0
327,3,14,66.8,0.0,0.0,8,7900,9.0,11.0
328,3,27,70.0,44.0,19.0,8,7950,3.0,4.0
329,3,14,74.3,43.8,11.6,0,8000,5.0,11.0
330,3,2,67.3,43.2,8.7,7,8000,7.0,9.0
331,3,14,70.0,42.3,8.0,7,8150,8.0,14.0
332,3,27,80.5,58.1,7.2,7,8400,1.0,3.0
333,3,26,110.0,70.0,17.0,7,8500,5.0,6.0
334,3,14,89.3,59.7,6.7,0,9000,4.0,12.0
335,3,15,92.5,55.1,13.3,7,9010,4.0,11.0
336,3,15,97.9,55.5,12.9,7,9047,3.0,11.0
337,3,14,93.4,46.7,8.8,7,9190,4.0,4.0
338,3,14,88.0,59.0,10.0,5,9200,4.0,5.0
339,3,15,90.0,59.5,14.0,0,9500,4.0,8.0
340,3,15,92.5,51.1,13.1,7,9520,8.0,11.0
341,3,27,113.0,80.5,10.0,7,9950,2.0,3.0
342,3,27,70.9,37.9,14.0,7,10300,3.0,5.0
343,3,15,83.7,51.2,10.9,7,10600,5.0,24.0
344,3,15,108.4,55.2,22.1,7,11135,3.0,13.0
345,3,15,104.0,54.5,19.1,7,11321,4.0,13.0
346,3,25,74.7,50.8,9.5,7,11500,1.0,6.0
347,3,15,106.7,63.7,17.5,0,11737,3.0,14.0
348,3,27,120.0,62.0,31.0,0,12500,3.0,4.0
349,3,19,109.1,64.9,16.0,0,12963,8.0,13.0
350,3,15,93.0,56.0,8.0,0,13645,6.0,16.0
351,3,15,130.1,0.0,35.8,0,14300,7.0,17.0
352,3,24,127.7,72.2,22.0,0,14500,3.0,5.0
353,3,27,107.0,71.7,17.0,7,14500,4.0,4.0
354,3,14,110.0,50.5,28.6,0,16000,9.0,13.0
355,3,15,100.0,52.0,10.0,0,16700,7.0,16.0
356,3,15,148.1,0.0,66.2,0,17772,10.0,25.0
357,3,15,97.6,51.6,16.0,0,18300,10.0,17.0
358,3,15,105.0,64.0,13.5,2,23800,8.0,9.0
359,3,14,106.0,68.0,11.0,2,24000,3.0,8.0
360,3,13,107.0,0.0,45.0,0,25000,11.0,13.0
361,3,14,138.4,77.3,17.0,0,25000,3.0,8.0
362,3,15,148.0,52.0,46.0,0,27500,16.0,18.0
363,4,26,87.7,0.0,10.6,4,6300,4.0,5.0
364,4,14,78.0,49.0,9.0,2,6300,3.0,6.0
365,4,26,79.0,58.0,8.0,2,6800,2.0,3.0
366,4,27,78.0,51.0,12.0,7,7500,2.0,4.0
367,4,14,95.0,58.0,11.0,7,7700,7.0,9.0
368,4,27,89.9,51.0,10.3,2,8100,3.0,7.0
369,4,26,90.0,49.0,11.0,8,8200,3.0,3.0
370,4,27,106.0,76.0,11.0,7,8400,5.0,5.0
371,4,14,101.0,62.0,14.7,7,8500,3.0,6.0
372,4,26,167.1,112.0,17.8,7,9990,5.0,5.0
373,4,15,120.6,72.0,11.0,7,10202,2.0,11.0
374,4,27,123.0,82.0,12.0,7,10500,3.0,5.0
375,4,15,100.0,66.0,11.0,8,10800,4.0,17.0
376,4,27,130.0,90.0,20.0,7,10999,3.0,7.0
